time=0 | regret-basic=33.3788900452872 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=64.6066479304102 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=93.6546682841245 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=120.027528264592 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=145.983189877257 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=169.013237059691 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=191.638051632755 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=212.475500145208 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.1 | regret-basic=191.843324641871 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=208.355958099276 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=226.080505279076 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=244.92519659186 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=261.366033129104 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=277.341431778017 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=292.711143589817 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=309.14001979491 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=323.079031115092 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=336.13898596114 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=349.163263384616 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=361.966335749445 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.2 | regret-basic=374.797954676071 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=382.496605328979 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=391.529566789378 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=402.936032034186 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=414.015787908251 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=425.454345631808 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=433.94243665081 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=442.443549306703 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=452.488316293211 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=461.23795797207 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=469.244664110368 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.3 | regret-basic=478.389258145389 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=487.240422751302 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=495.209489644697 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=502.656733667323 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=510.034235306372 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=518.159823004041 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=525.128640530403 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=533.020571391777 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=0.4 | regret-basic=468.35888767398 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.1 | regret-basic=33.3788900452872 | regret-our(beta1)=17.3677470415398 | regret-our(beta2)=10.8136481401975 | regret-our(beta3)=7.58118115923727
time=15.1 | regret-basic=64.6066479304102 | regret-our(beta1)=0 | regret-our(beta2)=2.25136665226615 | regret-our(beta3)=2.74495236603935
time=15.2 | regret-basic=93.6546682841245 | regret-our(beta1)=2.52853112976642 | regret-our(beta2)=7.96183884477563 | regret-our(beta3)=7.29321218375998
time=15.2 | regret-basic=120.027528264592 | regret-our(beta1)=5.46819384103791 | regret-our(beta2)=8.34029565393245 | regret-our(beta3)=6.46494470864587
time=15.2 | regret-basic=145.983189877257 | regret-our(beta1)=1.07831222247827 | regret-our(beta2)=6.54785774077697 | regret-our(beta3)=5.62122520754099
time=15.2 | regret-basic=169.013237059691 | regret-our(beta1)=0 | regret-our(beta2)=2.36925794396249 | regret-our(beta3)=2.72859848340266
time=15.2 | regret-basic=191.638051632755 | regret-our(beta1)=0 | regret-our(beta2)=1.73263675228906 | regret-our(beta3)=3.004809116789
time=15.2 | regret-basic=212.475500145208 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0.912879730253913
time=15.2 | regret-basic=191.843324641871 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=208.355958099276 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=226.080505279076 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=244.92519659186 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=261.366033129104 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=277.341431778017 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=292.711143589817 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=309.14001979491 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.2 | regret-basic=323.079031115092 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=336.13898596114 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=349.163263384616 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=361.966335749445 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=374.797954676071 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=382.496605328979 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=391.529566789378 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=402.936032034186 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=414.015787908251 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=425.454345631808 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=433.94243665081 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=442.443549306703 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=452.488316293211 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
time=15.3 | regret-basic=461.23795797207 | regret-our(beta1)=0 | regret-our(beta2)=0 | regret-our(beta3)=0
